"season","week","franchise_id","franchise_score","opponent_id","opponent_score","result"
"2023","9","8","100.5","4","119.14","L"
"2023","9","9","146.2","6","112.2","W"
"2023","9","10","117.42","1","156.54","L"
"2023","9","11","130.92","2","121.76","W"
"2023","9","12","121.28","7","138.26","L"
"2023","9","13","0","15","0","T"
"2023","9","14","0","16","0","T"
"2023","9","15","0","13","0","T"
"2023","9","16","0","14","0","T"
"2023","10","1","149.62","8","0","W"
"2023","10","2","207.66","10","117.52","W"
"2023","10","3","0","5","0","T"
"2023","10","4","113.94","6","132.18","L"
"2023","10","5","0","3","0","T"
"2023","10","6","132.18","4","113.94","W"
"2023","10","7","190.92","12","129.12","W"
"2023","10","8","0","1","149.62","L"
"2023","10","9","134.94","11","154.46","L"
"2023","10","10","117.52","2","207.66","L"
"2023","10","11","154.46","9","134.94","W"
"2023","10","12","129.12","7","190.92","L"
"2023","10","13","0","15","0","T"
"2023","10","14","0","16","0","T"
"2023","10","15","0","13","0","T"
"2023","10","16","0","14","0","T"
"2023","11","1","135.76","9","147.38","L"
"2023","11","2","121.26","7","149.6","L"
"2023","11","3","0","5","0","T"
"2023","11","4","0","8","0","T"
"2023","11","5","0","3","0","T"
"2023","11","6","152.34","11","135.66","W"
"2023","11","7","149.6","2","121.26","W"
"2023","11","8","0","4","0","T"
"2023","11","9","147.38","1","135.76","W"
"2023","11","10","137.4","12","127.8","W"
"2023","11","11","135.66","6","152.34","L"
"2023","11","12","127.8","10","137.4","L"
"2023","11","13","0","15","0","T"
"2023","11","14","0","16","0","T"
"2023","11","15","0","13","0","T"
"2023","11","16","0","14","0","T"
"2023","12","1","145.76","11","146.64","L"
"2023","12","2","0","10","180.86","L"
"2023","12","3","0","5","0","T"
"2023","12","4","0","8","0","T"
"2023","12","5","0","3","0","T"
"2023","12","6","153.7","7","189.04","L"
"2023","12","7","189.04","6","153.7","W"
"2023","12","8","0","4","0","T"
"2023","12","9","160.46","12","154.2","W"
"2023","12","10","180.86","2","0","W"
"2023","12","11","146.64","1","145.76","W"
"2023","12","12","154.2","9","160.46","L"
"2023","12","13","0","15","0","T"
"2023","12","14","0","16","0","T"
"2023","12","15","0","13","0","T"
"2023","12","16","0","14","0","T"
"2023","13","1","0","2","0","T"
"2023","13","2","0","1","0","T"
"2023","13","3","0","5","0","T"
"2023","13","4","0","8","0","T"
"2023","13","5","0","3","0","T"
"2023","13","6","157.76","11","199.32","L"
"2023","13","7","193.36","12","146.12","W"
"2023","13","8","0","4","0","T"
"2023","13","9","204.86","10","143.14","W"
"2023","13","10","143.14","9","204.86","L"
"2023","13","11","199.32","6","157.76","W"
"2023","13","12","146.12","7","193.36","L"
"2023","13","13","0","15","0","T"
"2023","13","14","0","16","0","T"
"2023","13","15","0","13","0","T"
"2023","13","16","0","14","0","T"
"2023","14","1","0","2","0","T"
"2023","14","2","0","1","0","T"
"2023","14","3","0","5","0","T"
"2023","14","4","0","8","0","T"
"2023","14","5","0","3","0","T"
"2023","14","6","159.88","9","127.72","W"
"2023","14","7","203.94","10","0","W"
"2023","14","8","0","4","0","T"
"2023","14","9","127.72","6","159.88","L"
"2023","14","10","0","7","203.94","L"
"2023","14","11","172.34","12","136.82","W"
"2023","14","12","136.82","11","172.34","L"
"2023","14","13","0","15","0","T"
"2023","14","14","0","16","0","T"
"2023","14","15","0","13","0","T"
"2023","14","16","0","14","0","T"
"2023","15","1","0","2","0","T"
"2023","15","2","0","1","0","T"
"2023","15","3","0","5","0","T"
"2023","15","4","0","8","0","T"
"2023","15","5","0","3","0","T"
"2023","15","6","164.52","11","202.58","L"
"2023","15","7","180.14","12","171.02","W"
"2023","15","8","0","4","0","T"
"2023","15","9","0","10","0","T"
"2023","15","10","0","9","0","T"
"2023","15","11","202.58","6","164.52","W"
"2023","15","12","171.02","7","180.14","L"
"2023","15","13","0","15","0","T"
"2023","15","14","0","16","0","T"
"2023","15","15","0","13","0","T"
"2023","15","16","0","14","0","T"
"2023","16","1","0","11","221.7","L"
"2023","16","2","0","7","187.18","L"
"2023","16","3","0","6","192","L"
"2023","16","4","0","8","0","T"
"2023","16","5","0","12","0","T"
"2023","16","6","192","3","0","W"
"2023","16","7","187.18","2","0","W"
"2023","16","8","0","4","0","T"
"2023","16","9","0","10","0","T"
"2023","16","10","0","9","0","T"
"2023","16","11","221.7","1","0","W"
