"season","timestamp","type","type_desc","franchise_id","franchise_name","player_id","player_name","pos","team","bbid_amount","trade_partner","waiver_priority","comment"
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","7547","Amon-Ra St. Brown","WR","DET","0",NA,"2",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","6","lowerthanaverage","8230","Ty Chandler","RB","MIN",NA,NA,"2",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","11","CEEDEEZ NUTS","8136","Rachaad White","RB","TB","0",NA,"1",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","11","CEEDEEZ NUTS","7564","Ja'Marr Chase","WR","CIN",NA,NA,"1",NA
"2023","2023-12-27 08:09:37.886","waiver_failed","added","6","lowerthanaverage","5859","A.J. Brown","WR","PHI","0",NA,"4","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","dropped","6","lowerthanaverage","7526","Jaylen Waddle","WR","MIA",NA,NA,"4","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","added","6","lowerthanaverage","8136","Rachaad White","RB","TB","0",NA,"5","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","dropped","6","lowerthanaverage","8155","Breece Hall","RB","NYJ",NA,NA,"5","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","2449","Stefon Diggs","WR","NE","0",NA,"9",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","6","lowerthanaverage","6943","Gabe Davis","WR","BUF",NA,NA,"9",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","11","CEEDEEZ NUTS","5859","A.J. Brown","WR","PHI","0",NA,"6",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","11","CEEDEEZ NUTS","8183","Brock Purdy","QB","SF",NA,NA,"6",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","6904","Jalen Hurts","QB","PHI","0",NA,"3",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","6","lowerthanaverage","3163","Jared Goff","QB","DET",NA,NA,"3",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","11","CEEDEEZ NUTS","9221","Jahmyr Gibbs","RB","DET","0",NA,"0",NA
"2023","2023-12-27 08:09:37.886","waiver_failed","added","11","CEEDEEZ NUTS","4034","Christian McCaffrey","RB","SF","0",NA,"8","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","added","11","CEEDEEZ NUTS","6904","Jalen Hurts","QB","PHI","0",NA,"7","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","dropped","11","CEEDEEZ NUTS","1234","Russell Wilson","QB","NYG",NA,NA,"7","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_complete","added","11","CEEDEEZ NUTS","4984","Josh Allen","QB","BUF","0",NA,"5",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","11","CEEDEEZ NUTS","9226","De'Von Achane","RB","MIA",NA,NA,"5",NA
"2023","2023-12-27 08:09:37.886","waiver_failed","added","11","CEEDEEZ NUTS","7547","Amon-Ra St. Brown","WR","DET","0",NA,"2","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","dropped","11","CEEDEEZ NUTS","6803","Brandon Aiyuk","WR","SF",NA,NA,"2","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","added","11","CEEDEEZ NUTS","3321","Tyreek Hill","WR","MIA","0",NA,"3","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","dropped","11","CEEDEEZ NUTS","5927","Terry McLaurin","WR","WAS",NA,NA,"3","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","added","6","lowerthanaverage","1466","Travis Kelce","TE","KC","0",NA,"11","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","dropped","6","lowerthanaverage","7600","Pat Freiermuth","TE","PIT",NA,NA,"11","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","4066","Evan Engram","TE","DEN","0",NA,"6",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","6","lowerthanaverage","2251","Logan Thomas","TE",NA,NA,NA,"6",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","4034","Christian McCaffrey","RB","SF","1",NA,"0",NA
"2023","2023-12-25 01:14:09.689","free_agent","added","11","CEEDEEZ NUTS","1234","Russell Wilson","QB","NYG",NA,NA,NA,NA
"2023","2023-12-25 01:14:09.689","free_agent","dropped","11","CEEDEEZ NUTS","3164","Ezekiel Elliott","RB",NA,NA,NA,NA,NA
"2023","2023-12-24 22:29:03.068","free_agent","added","6","lowerthanaverage","8139","Zamir White","RB","LV",NA,NA,NA,NA
"2023","2023-12-24 22:29:03.068","free_agent","dropped","6","lowerthanaverage","5850","Josh Jacobs","RB","GB",NA,NA,NA,NA
"2023","2023-12-24 21:26:01.652","free_agent","added","6","lowerthanaverage","7588","Javonte Williams","RB","DAL",NA,NA,NA,NA
"2023","2023-12-24 21:26:01.652","free_agent","dropped","6","lowerthanaverage","8230","Ty Chandler","RB","MIN",NA,NA,NA,NA
"2023","2023-12-24 21:23:30.345","free_agent","added","11","CEEDEEZ NUTS","3164","Ezekiel Elliott","RB",NA,NA,NA,NA,NA
"2023","2023-12-24 21:23:30.345","free_agent","dropped","11","CEEDEEZ NUTS","6768","Tua Tagovailoa","QB","MIA",NA,NA,NA,NA
"2023","2023-12-24 08:00:07.975","waiver_complete","added","6","lowerthanaverage","8230","Ty Chandler","RB","MIN","0",NA,NA,NA
"2023","2023-12-24 08:00:07.975","waiver_complete","dropped","6","lowerthanaverage","6828","A.J. Dillon","RB","PHI",NA,NA,NA,NA
"2023","2023-12-23 08:10:00.59","waiver_complete","added","6","lowerthanaverage","7591","Justin Fields","QB","NYJ","0",NA,NA,NA
"2023","2023-12-23 08:10:00.59","waiver_complete","dropped","6","lowerthanaverage","8162","Sam Howell","QB","PHI",NA,NA,NA,NA
"2023","2023-12-22 08:00:04.77","waiver_complete","added","7","Zac’s Success","7525","DeVonta Smith","WR","PHI","1",NA,NA,NA
"2023","2023-12-22 08:00:04.77","waiver_complete","dropped","7","Zac’s Success","1479","Keenan Allen","WR","LAC",NA,NA,NA,NA
"2023","2023-12-21 08:09:51.245","waiver_complete","added","6","lowerthanaverage","5850","Josh Jacobs","RB","GB","0",NA,NA,NA
"2023","2023-12-21 08:09:51.245","waiver_complete","dropped","6","lowerthanaverage","7588","Javonte Williams","RB","DAL",NA,NA,NA,NA
"2023","2023-12-21 08:09:51.245","waiver_failed","added","6","lowerthanaverage","9493","Puka Nacua","WR","LAR","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-21 08:09:51.245","waiver_failed","dropped","6","lowerthanaverage","6943","Gabe Davis","WR","BUF",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-21 08:09:51.245","waiver_complete","added","11","CEEDEEZ NUTS","5846","DK Metcalf","WR","PIT","0",NA,NA,NA
"2023","2023-12-21 08:09:51.245","waiver_complete","dropped","11","CEEDEEZ NUTS","8167","Christian Watson","WR","GB",NA,NA,NA,NA
"2023","2023-12-21 08:09:51.245","waiver_complete","added","11","CEEDEEZ NUTS","9493","Puka Nacua","WR","LAR","0",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","added","6","lowerthanaverage","8205","Isiah Pacheco","RB","KC","1",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","dropped","6","lowerthanaverage","6945","Antonio Gibson","RB","NE",NA,NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_failed","added","6","lowerthanaverage","6904","Jalen Hurts","QB","PHI","1",NA,NA,"This player was claimed by another owner."
"2023","2023-12-20 08:00:13.629","waiver_failed","dropped","6","lowerthanaverage","8162","Sam Howell","QB","PHI",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-20 08:00:13.629","waiver_complete","added","7","Zac’s Success","6801","Tee Higgins","WR","CIN","2",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","dropped","7","Zac’s Success","8144","Chris Olave","WR","NO",NA,NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","added","6","lowerthanaverage","8131","Isaiah Likely","TE","BAL","1",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","added","7","Zac’s Success","6904","Jalen Hurts","QB","PHI","3",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","dropped","7","Zac’s Success","9493","Puka Nacua","WR","LAR",NA,NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","added","7","Zac’s Success","6813","Jonathan Taylor","RB","IND","1",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","dropped","7","Zac’s Success","5850","Josh Jacobs","RB","GB",NA,NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","added","7","Zac’s Success","3321","Tyreek Hill","WR","MIA","7",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","added","6","lowerthanaverage","3163","Jared Goff","QB","DET","0",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","dropped","6","lowerthanaverage","9999","Will Levis","QB","TEN",NA,NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","added","6","lowerthanaverage","9756","Jordan Addison","WR","MIN","1",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","dropped","6","lowerthanaverage","1426","DeAndre Hopkins","WR","BAL",NA,NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_failed","added","6","lowerthanaverage","3321","Tyreek Hill","WR","MIA","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-20 08:00:13.629","waiver_failed","dropped","6","lowerthanaverage","6943","Gabe Davis","WR","BUF",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-20 08:00:13.629","waiver_complete","added","6","lowerthanaverage","7526","Jaylen Waddle","WR","MIA","2",NA,NA,NA
"2023","2023-12-20 08:00:13.629","waiver_complete","dropped","6","lowerthanaverage","2197","Brandin Cooks","WR","BUF",NA,NA,NA,NA
"2023","2023-12-18 01:03:06.585","free_agent","added","6","lowerthanaverage","9753","Zach Charbonnet","RB","SEA",NA,NA,NA,NA
"2023","2023-12-18 01:03:06.585","free_agent","dropped","6","lowerthanaverage","6945","Antonio Gibson","RB","NE",NA,NA,NA,NA
"2023","2023-12-18 00:57:28.41","free_agent","added","6","lowerthanaverage","4080","Zay Jones","WR","ARI",NA,NA,NA,NA
"2023","2023-12-18 00:57:28.41","free_agent","dropped","6","lowerthanaverage","2197","Brandin Cooks","WR","BUF",NA,NA,NA,NA
"2023","2023-12-18 00:51:53.032","free_agent","added","6","lowerthanaverage","7523","Trevor Lawrence","QB","JAX",NA,NA,NA,NA
"2023","2023-12-18 00:51:53.032","free_agent","dropped","6","lowerthanaverage","6943","Gabe Davis","WR","BUF",NA,NA,NA,NA
"2023","2023-12-17 23:13:31.284","free_agent","added","11","CEEDEEZ NUTS","5022","Dallas Goedert","TE","PHI",NA,NA,NA,NA
"2023","2023-12-17 23:13:31.284","free_agent","dropped","11","CEEDEEZ NUTS","8167","Christian Watson","WR","GB",NA,NA,NA,NA
"2023","2023-12-17 22:51:47.133","free_agent","added","12","GooeySubset","8131","Isaiah Likely","TE","BAL",NA,NA,NA,NA
"2023","2023-12-17 22:51:47.133","free_agent","dropped","12","GooeySubset","8111","Cade Otton","TE","TB",NA,NA,NA,NA
"2023","2023-12-17 22:37:01.911","free_agent","added","6","lowerthanaverage","2078","Odell Beckham","WR",NA,NA,NA,NA,NA
"2023","2023-12-17 22:37:01.911","free_agent","dropped","6","lowerthanaverage","7569","Nico Collins","WR","HOU",NA,NA,NA,NA
"2023","2023-12-17 22:34:08.32","free_agent","added","6","lowerthanaverage","9511","Keaton Mitchell","RB","BAL",NA,NA,NA,NA
"2023","2023-12-17 22:34:08.32","free_agent","dropped","6","lowerthanaverage","6828","A.J. Dillon","RB","PHI",NA,NA,NA,NA
"2023","2023-12-17 08:09:49.77","waiver_complete","added","6","lowerthanaverage","6945","Antonio Gibson","RB","NE","0",NA,NA,NA
"2023","2023-12-17 08:09:49.77","waiver_complete","dropped","6","lowerthanaverage","8205","Isiah Pacheco","RB","KC",NA,NA,NA,NA
"2023","2023-12-17 08:09:49.77","waiver_complete","added","6","lowerthanaverage","5849","Kyler Murray","QB","ARI","0",NA,NA,NA
"2023","2023-12-17 08:09:49.77","waiver_complete","dropped","6","lowerthanaverage","4179","Joshua Dobbs","QB","NE",NA,NA,NA,NA
"2023","2023-12-16 08:09:43.303","waiver_complete","added","11","CEEDEEZ NUTS","2309","Amari Cooper","WR",NA,"0",NA,NA,NA
"2023","2023-12-16 08:09:43.303","waiver_complete","dropped","11","CEEDEEZ NUTS","6826","Cole Kmet","TE","CHI",NA,NA,NA,NA
"2023","2023-12-16 08:09:43.303","waiver_complete","added","12","GooeySubset","8230","Ty Chandler","RB","MIN","0",NA,NA,NA
"2023","2023-12-16 08:09:43.303","waiver_complete","dropped","12","GooeySubset","5987","Alexander Mattison","RB","MIA",NA,NA,NA,NA
"2023","2023-12-15 08:09:36.619","waiver_complete","added","6","lowerthanaverage","8205","Isiah Pacheco","RB","KC","0",NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_complete","added","12","GooeySubset","5892","David Montgomery","RB","DET","0",NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_complete","dropped","12","GooeySubset","6820","Clyde Edwards-Helaire","RB","KC",NA,NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_complete","added","12","GooeySubset","6845","Zack Moss","RB",NA,"0",NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_failed","added","12","GooeySubset","10229","Rashee Rice","WR","KC","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-14 08:00:16.781","waiver_failed","dropped","12","GooeySubset","5133","Tyler Conklin","TE","LAC",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-14 08:00:16.781","waiver_complete","added","12","GooeySubset","5846","DK Metcalf","WR","PIT","0",NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_complete","dropped","12","GooeySubset","3225","Tyler Boyd","WR",NA,NA,NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_complete","added","12","GooeySubset","7525","DeVonta Smith","WR","PHI","0",NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_complete","dropped","12","GooeySubset","6797","Justin Herbert","QB","LAC",NA,NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_failed","added","6","lowerthanaverage","7525","DeVonta Smith","WR","PHI","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-14 08:00:16.781","waiver_failed","dropped","6","lowerthanaverage","6943","Gabe Davis","WR","BUF",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-14 08:00:16.781","waiver_failed","added","6","lowerthanaverage","5846","DK Metcalf","WR","PIT","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-14 08:00:16.781","waiver_complete","added","6","lowerthanaverage","10229","Rashee Rice","WR","KC","0",NA,NA,NA
"2023","2023-12-14 08:00:16.781","waiver_complete","dropped","6","lowerthanaverage","8121","Romeo Doubs","WR","GB",NA,NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_failed","added","11","CEEDEEZ NUTS","5846","DK Metcalf","WR","PIT","0",NA,"6","Unfortunately, your roster will have too many players after this transaction."
"2023","2023-12-13 08:00:07.546","waiver_complete","added","11","CEEDEEZ NUTS","5927","Terry McLaurin","WR","WAS","0",NA,"5",NA
"2023","2023-12-13 08:00:07.546","waiver_failed","added","11","CEEDEEZ NUTS","7525","DeVonta Smith","WR","PHI","0",NA,"7","Unfortunately, your roster will have too many players after this transaction."
"2023","2023-12-13 08:00:07.546","waiver_failed","added","6","lowerthanaverage","10859","Sam LaPorta","TE","DET","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_failed","dropped","6","lowerthanaverage","8121","Romeo Doubs","WR","GB",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_complete","added","6","lowerthanaverage","8130","Trey McBride","TE","ARI","0",NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","dropped","6","lowerthanaverage","4089","Gerald Everett","TE",NA,NA,NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","added","6","lowerthanaverage","421","Matthew Stafford","QB","LAR","0",NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","dropped","6","lowerthanaverage","6804","Jordan Love","QB","GB",NA,NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_failed","added","6","lowerthanaverage","2449","Stefon Diggs","WR","NE","4",NA,NA,"This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_complete","added","6","lowerthanaverage","6828","A.J. Dillon","RB","PHI","0",NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","dropped","6","lowerthanaverage","5248","Gus Edwards","RB",NA,NA,NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_failed","added","6","lowerthanaverage","8183","Brock Purdy","QB","SF","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_failed","dropped","6","lowerthanaverage","4179","Joshua Dobbs","QB","NE",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_complete","added","7","Zac’s Success","7547","Amon-Ra St. Brown","WR","DET","7",NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","added","7","Zac’s Success","2449","Stefon Diggs","WR","NE","7",NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","dropped","7","Zac’s Success","5022","Dallas Goedert","TE","PHI",NA,NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_failed","added","11","CEEDEEZ NUTS","10229","Rashee Rice","WR","KC","0",NA,"4","Unfortunately, your roster will have too many players after this transaction."
"2023","2023-12-13 08:00:07.546","waiver_failed","dropped","11","CEEDEEZ NUTS","5849","Kyler Murray","QB","ARI",NA,NA,"4","Unfortunately, your roster will have too many players after this transaction."
"2023","2023-12-13 08:00:07.546","waiver_complete","added","7","Zac’s Success","4035","Alvin Kamara","RB","NO","3",NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","dropped","7","Zac’s Success","6845","Zack Moss","RB",NA,NA,NA,NA,NA
"2023","2023-12-13 08:00:07.546","waiver_complete","added","11","CEEDEEZ NUTS","10859","Sam LaPorta","TE","DET","0",NA,"3",NA
"2023","2023-12-13 08:00:07.546","waiver_complete","dropped","11","CEEDEEZ NUTS","5001","Dalton Schultz","TE","HOU",NA,NA,"3",NA
"2023","2023-12-13 08:00:07.546","waiver_failed","added","11","CEEDEEZ NUTS","2449","Stefon Diggs","WR","NE","0",NA,"2","This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_failed","dropped","11","CEEDEEZ NUTS","4981","Calvin Ridley","WR","TEN",NA,NA,"2","This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_failed","added","11","CEEDEEZ NUTS","7547","Amon-Ra St. Brown","WR","DET","0",NA,"1","This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_failed","dropped","11","CEEDEEZ NUTS","8167","Christian Watson","WR","GB",NA,NA,"1","This player was claimed by another owner."
"2023","2023-12-13 08:00:07.546","waiver_complete","added","11","CEEDEEZ NUTS","8183","Brock Purdy","QB","SF","0",NA,"0",NA
"2023","2023-12-13 08:00:07.546","waiver_complete","dropped","11","CEEDEEZ NUTS","5849","Kyler Murray","QB","ARI",NA,NA,"0",NA
"2023","2023-12-10 22:39:37.004","free_agent","added","6","lowerthanaverage","9999","Will Levis","QB","TEN",NA,NA,NA,NA
"2023","2023-12-10 22:39:37.004","free_agent","dropped","6","lowerthanaverage","4234","Noah Brown","WR","WAS",NA,NA,NA,NA
"2023","2023-12-10 21:12:51.849","free_agent","added","9","Josh Barsa’s Insulin Pump","1234","Russell Wilson","QB","NYG",NA,NA,NA,NA
"2023","2023-12-10 21:12:51.849","free_agent","dropped","9","Josh Barsa’s Insulin Pump","5848","Marquise Brown","WR","KC",NA,NA,NA,NA
"2023","2023-12-10 19:37:05.771","free_agent","added","6","lowerthanaverage","4179","Joshua Dobbs","QB","NE",NA,NA,NA,NA
"2023","2023-12-10 19:37:05.771","free_agent","dropped","6","lowerthanaverage","1373","Geno Smith","QB","LV",NA,NA,NA,NA
"2023","2023-12-10 17:45:21.776","free_agent","added","9","Josh Barsa’s Insulin Pump","8131","Isaiah Likely","TE","BAL",NA,NA,NA,NA
"2023","2023-12-10 17:45:21.776","free_agent","dropped","9","Josh Barsa’s Insulin Pump","8154","Brian Robinson","RB","SF",NA,NA,NA,NA
"2023","2023-12-10 08:00:21.027","waiver_complete","added","9","Josh Barsa’s Insulin Pump","2161","Jerick McKinnon","RB",NA,"0",NA,NA,NA
"2023","2023-12-10 08:00:21.027","waiver_complete","dropped","9","Josh Barsa’s Insulin Pump","9502","Tank Dell","WR","HOU",NA,NA,NA,NA
"2023","2023-12-09 08:00:12.885","waiver_complete","added","12","GooeySubset","6820","Clyde Edwards-Helaire","RB","KC","0",NA,NA,NA
"2023","2023-12-09 08:00:12.885","waiver_complete","dropped","12","GooeySubset","6945","Antonio Gibson","RB","NE",NA,NA,NA,NA
"2023","2023-12-08 08:00:03.941","waiver_complete","added","11","CEEDEEZ NUTS","5001","Dalton Schultz","TE","HOU","0",NA,NA,NA
"2023","2023-12-08 08:00:03.941","waiver_complete","dropped","11","CEEDEEZ NUTS","3271","Tyler Higbee","TE","LAR",NA,NA,NA,NA
"2023","2023-12-08 08:00:03.941","waiver_complete","added","6","lowerthanaverage","6943","Gabe Davis","WR","BUF","0",NA,NA,NA
"2023","2023-12-07 08:09:55.764","waiver_failed","added","9","Josh Barsa’s Insulin Pump","7588","Javonte Williams","RB","DAL","0",NA,NA,"This player was claimed by another owner."
"2023","2023-12-07 08:09:55.764","waiver_failed","dropped","9","Josh Barsa’s Insulin Pump","9502","Tank Dell","WR","HOU",NA,NA,NA,"This player was claimed by another owner."
"2023","2023-12-07 08:09:55.764","waiver_complete","added","12","GooeySubset","9756","Jordan Addison","WR","MIN","0",NA,NA,NA
"2023","2023-12-07 08:09:55.764","waiver_complete","dropped","12","GooeySubset","4147","Samaje Perine","RB","CIN",NA,NA,NA,NA
"2023","2023-12-07 08:09:55.764","waiver_complete","added","12","GooeySubset","5987","Alexander Mattison","RB","MIA","0",NA,NA,NA
"2023","2023-12-07 08:09:55.764","waiver_complete","dropped","12","GooeySubset","4950","Christian Kirk","WR","HOU",NA,NA,NA,NA
"2023","2023-12-07 08:09:55.764","waiver_complete","added","12","GooeySubset","7591","Justin Fields","QB","NYJ","0",NA,NA,NA
"2023","2023-12-07 08:09:55.764","waiver_complete","dropped","12","GooeySubset","421","Matthew Stafford","QB","LAR",NA,NA,NA,NA
"2023","2023-12-07 08:09:55.764","waiver_complete","added","12","GooeySubset","8146","Garrett Wilson","WR","NYJ","0",NA,NA,NA
