"season","week","game_type","franchise_id","franchise_score","opponent_id","opponent_score","result","result_char"
2021,10,0,2,160.44,3,127.5,1,"W"
2021,10,0,3,127.5,2,160.44,0,"L"
2021,10,0,4,124.9,5,124.64,1,"W"
2021,10,0,5,124.64,4,124.9,0,"L"
2021,10,0,6,140.24,8,44.9,1,"W"
2021,10,0,7,109.66,11,116.08,0,"L"
2021,10,0,8,44.9,6,140.24,0,"L"
2021,10,0,9,130.96,12,110.58,1,"W"
2021,10,0,10,126.54,13,169.32,0,"L"
2021,10,0,11,116.08,7,109.66,1,"W"
2021,10,0,12,110.58,9,130.96,0,"L"
2021,10,0,13,169.32,10,126.54,1,"W"
2021,10,0,14,144.16,1,129.62,1,"W"
2021,11,0,1,157.72,12,154.62,1,"W"
2021,11,0,2,165,7,98.78,1,"W"
2021,11,0,3,136.7,9,169.54,0,"L"
2021,11,0,4,98.38,8,119.2,0,"L"
2021,11,0,5,215.68,13,176.72,1,"W"
2021,11,0,6,168.36,14,98.36,1,"W"
2021,11,0,7,98.78,2,165,0,"L"
2021,11,0,8,119.2,4,98.38,1,"W"
2021,11,0,9,169.54,3,136.7,1,"W"
2021,11,0,10,121.62,11,150.28,0,"L"
2021,11,0,11,150.28,10,121.62,1,"W"
2021,11,0,12,154.62,1,157.72,0,"L"
2021,11,0,13,176.72,5,215.68,0,"L"
2021,11,0,14,98.36,6,168.36,0,"L"
2021,12,0,1,122.94,3,161,0,"L"
2021,12,0,2,126.4,10,108.9,1,"W"
2021,12,0,3,161,1,122.94,1,"W"
2021,12,0,4,132.6,6,119.26,1,"W"
2021,12,0,5,122.68,11,191.6,0,"L"
2021,12,0,6,119.26,4,132.6,0,"L"
2021,12,0,7,137.78,9,143.8,0,"L"
2021,12,0,8,129.68,13,164.7,0,"L"
2021,12,0,9,143.8,7,137.78,1,"W"
2021,12,0,10,108.9,2,126.4,0,"L"
2021,12,0,11,191.6,5,122.68,1,"W"
2021,12,0,12,140.34,14,94.62,1,"W"
2021,12,0,13,164.7,8,129.68,1,"W"
2021,12,0,14,94.62,12,140.34,0,"L"
2021,13,0,1,113.92,7,176.06,0,"L"
2021,13,0,2,210.84,5,173.86,1,"W"
2021,13,0,3,85.46,12,105.32,0,"L"
2021,13,0,4,216.26,14,102.72,1,"W"
2021,13,0,5,173.86,2,210.84,0,"L"
2021,13,0,6,138.42,13,155.92,0,"L"
2021,13,0,7,176.06,1,113.92,1,"W"
2021,13,0,8,104.4,11,108.4,0,"L"
2021,13,0,9,140.46,10,79.92,1,"W"
2021,13,0,10,79.92,9,140.46,0,"L"
2021,13,0,11,108.4,8,104.4,1,"W"
2021,13,0,12,105.32,3,85.46,1,"W"
2021,13,0,13,155.92,6,138.42,1,"W"
2021,13,0,14,102.72,4,216.26,0,"L"
2021,14,0,1,117.86,10,145.52,0,"L"
2021,14,0,2,173.04,8,100.52,1,"W"
2021,14,0,3,150.76,14,131.58,1,"W"
2021,14,0,4,159.98,13,157.1,1,"W"
2021,14,0,5,146.08,9,150.12,0,"L"
2021,14,0,6,198.66,11,167.42,1,"W"
2021,14,0,7,128.18,12,99.18,1,"W"
2021,14,0,8,100.52,2,173.04,0,"L"
2021,14,0,9,150.12,5,146.08,1,"W"
2021,14,0,10,145.52,1,117.86,1,"W"
2021,14,0,11,167.42,6,198.66,0,"L"
2021,14,0,12,99.18,7,128.18,0,"L"
2021,14,0,13,157.1,4,159.98,0,"L"
2021,14,0,14,131.58,3,150.76,0,"L"
2021,15,1,2,132.34,7,94.14,1,"W"
2021,15,1,4,154.42,13,204.32,0,"L"
2021,15,1,5,110.88,6,137.18,0,"L"
2021,15,1,6,137.18,5,110.88,1,"W"
2021,15,1,7,94.14,2,132.34,0,"L"
2021,15,1,9,151.24,11,103.14,1,"W"
2021,15,1,11,103.14,9,151.24,0,"L"
2021,15,1,13,204.32,4,154.42,1,"W"
2021,15,-2,1,100.04,3,111.86,0,"L"
2021,15,-2,3,111.86,1,100.04,1,"W"
2021,15,-2,8,65.88,12,145.14,0,"L"
2021,15,-2,12,145.14,8,65.88,1,"W"
2021,16,1,2,137.78,6,146.92,0,"L"
2021,16,1,6,146.92,2,137.78,1,"W"
2021,16,1,9,129.42,13,180.96,0,"L"
2021,16,1,13,180.96,9,129.42,1,"W"
2021,16,-1,4,109.58,11,112.06,0,"L"
2021,16,-1,5,116.18,7,195.14,0,"L"
2021,16,-1,7,195.14,5,116.18,1,"W"
2021,16,-1,11,112.06,4,109.58,1,"W"
2021,16,-2,1,115.76,8,126.8,0,"L"
2021,16,-2,3,92.3,10,118.24,0,"L"
2021,16,-2,8,126.8,1,115.76,1,"W"
2021,16,-2,10,118.24,3,92.3,1,"W"
2021,16,-2,12,104.28,14,211.16,0,"L"
2021,16,-2,14,211.16,12,104.28,1,"W"
2021,17,1,6,171.34,13,162.98,1,"W"
2021,17,1,13,162.98,6,171.34,0,"L"
2021,17,-1,2,139.36,9,138.4,1,"W"
2021,17,-1,4,155.54,5,148.3,1,"W"
2021,17,-1,5,148.3,4,155.54,0,"L"
2021,17,-1,7,156.04,11,90.18,1,"W"
2021,17,-1,9,138.4,2,139.36,0,"L"
2021,17,-1,11,90.18,7,156.04,0,"L"
2021,17,-2,3,116.58,12,114.58,1,"W"
2021,17,-2,10,118.16,14,165.64,0,"L"
2021,17,-2,12,114.58,3,116.58,0,"L"
2021,17,-2,14,165.64,10,118.16,1,"W"
2022,1,0,1,181.5,14,147.82,1,"W"
2022,1,0,2,218.38,13,280.24,0,"L"
2022,1,0,3,183.82,5,227.78,0,"L"
2022,1,0,4,223.7,6,166.5,1,"W"
2022,1,0,5,227.78,3,183.82,1,"W"
2022,1,0,6,166.5,4,223.7,0,"L"
2022,1,0,7,231.12,12,172.86,1,"W"
2022,1,0,8,218.42,10,210.88,1,"W"
2022,1,0,9,208.2,11,194.16,1,"W"
2022,1,0,10,210.88,8,218.42,0,"L"
2022,1,0,11,194.16,9,208.2,0,"L"
2022,1,0,12,172.86,7,231.12,0,"L"
2022,1,0,13,280.24,2,218.38,1,"W"
2022,1,0,14,147.82,1,181.5,0,"L"
2022,2,0,1,196.2,10,198.56,0,"L"
2022,2,0,2,227.68,6,198.56,1,"W"
2022,2,0,3,177.86,14,186.88,0,"L"
2022,2,0,4,148.12,7,259.42,0,"L"
2022,2,0,5,193.5,12,267.86,0,"L"
2022,2,0,6,198.56,2,227.68,0,"L"
2022,2,0,7,259.42,4,148.12,1,"W"
2022,2,0,8,199.44,11,143.28,1,"W"
2022,2,0,9,209.68,13,279.7,0,"L"
2022,2,0,10,198.56,1,196.2,1,"W"
2022,2,0,11,143.28,8,199.44,0,"L"
2022,2,0,12,267.86,5,193.5,1,"W"
2022,2,0,13,279.7,9,209.68,1,"W"
2022,2,0,14,186.88,3,177.86,1,"W"
2022,3,0,1,211.54,11,142.88,1,"W"
2022,3,0,2,209.72,12,180.28,1,"W"
2022,3,0,3,182.74,7,221.6,0,"L"
2022,3,0,4,142.12,14,218.98,0,"L"
2022,3,0,5,176.44,9,249.32,0,"L"
2022,3,0,6,276.9,8,212.16,1,"W"
2022,3,0,7,221.6,3,182.74,1,"W"
2022,3,0,8,212.16,6,276.9,0,"L"
2022,3,0,9,249.32,5,176.44,1,"W"
2022,3,0,10,145.98,13,182.34,0,"L"
2022,3,0,11,142.88,1,211.54,0,"L"
2022,3,0,12,180.28,2,209.72,0,"L"
2022,3,0,13,182.34,10,145.98,1,"W"
2022,3,0,14,218.98,4,142.12,1,"W"
2022,4,0,1,231.48,7,242.62,0,"L"
2022,4,0,2,208.26,10,187.9,1,"W"
2022,4,0,3,171.42,13,233.56,0,"L"
2022,4,0,4,156.42,9,237.42,0,"L"
2022,4,0,5,214.78,14,175.46,1,"W"
2022,4,0,6,186.6,11,172.16,1,"W"
2022,4,0,7,242.62,1,231.48,1,"W"
2022,4,0,8,184.24,12,216.62,0,"L"
2022,4,0,9,237.42,4,156.42,1,"W"
2022,4,0,10,187.9,2,208.26,0,"L"
2022,4,0,11,172.16,6,186.6,0,"L"
2022,4,0,12,216.62,8,184.24,1,"W"
2022,4,0,13,233.56,3,171.42,1,"W"
2022,4,0,14,175.46,5,214.78,0,"L"
2022,5,0,1,186.32,3,213.92,0,"L"
2022,5,0,2,195.24,7,187.94,1,"W"
2022,5,0,3,213.92,1,186.32,1,"W"
2022,5,0,4,157.9,11,183.4,0,"L"
2022,5,0,5,213.88,6,215.52,0,"L"
2022,5,0,6,215.52,5,213.88,1,"W"
2022,5,0,7,187.94,2,195.24,0,"L"
2022,5,0,8,176.5,13,235.72,0,"L"
2022,5,0,9,238.34,12,125.5,1,"W"
2022,5,0,10,166.64,14,177.3,0,"L"
2022,5,0,11,183.4,4,157.9,1,"W"
2022,5,0,12,125.5,9,238.34,0,"L"
2022,5,0,13,235.72,8,176.5,1,"W"
2022,5,0,14,177.3,10,166.64,1,"W"
2022,6,0,1,167.44,13,200.46,0,"L"
2022,6,0,2,232.34,4,126.52,1,"W"
2022,6,0,3,196.46,8,198.32,0,"L"
2022,6,0,4,126.52,2,232.34,0,"L"
2022,6,0,5,221.84,7,194.12,1,"W"
2022,6,0,6,198.32,10,135.72,1,"W"
2022,6,0,7,194.12,5,221.84,0,"L"
2022,6,0,8,198.32,3,196.46,1,"W"
2022,6,0,9,135.2,14,188.66,0,"L"
2022,6,0,10,135.72,6,198.32,0,"L"
2022,6,0,11,177.32,12,165.06,1,"W"
2022,6,0,12,165.06,11,177.32,0,"L"
2022,6,0,13,200.46,1,167.44,1,"W"
2022,6,0,14,188.66,9,135.2,1,"W"
2022,7,0,1,241.5,12,197.32,1,"W"
2022,7,0,2,196.24,9,203.24,0,"L"
2022,7,0,3,155.02,4,155.96,0,"L"
2022,7,0,4,155.96,3,155.02,1,"W"
2022,7,0,5,219.96,8,181.94,1,"W"
2022,7,0,6,183.06,14,143.14,1,"W"
2022,7,0,7,253.32,10,180.44,1,"W"
2022,7,0,8,181.94,5,219.96,0,"L"
2022,7,0,9,203.24,2,196.24,1,"W"
2022,7,0,10,180.44,7,253.32,0,"L"
2022,7,0,11,152.42,13,169.52,0,"L"
2022,7,0,12,197.32,1,241.5,0,"L"
2022,7,0,13,169.52,11,152.42,1,"W"
2022,7,0,14,143.14,6,183.06,0,"L"
2022,8,0,1,167.74,4,181.28,0,"L"
2022,8,0,2,248.22,13,241.64,1,"W"
2022,8,0,3,220.1,14,188.32,1,"W"
2022,8,0,4,181.28,1,167.74,1,"W"
2022,8,0,5,242.08,6,266.7,0,"L"
2022,8,0,6,266.7,5,242.08,1,"W"
2022,8,0,7,186.52,11,190.72,0,"L"
2022,8,0,8,175.46,9,172.14,1,"W"
2022,8,0,9,172.14,8,175.46,0,"L"
2022,8,0,10,164.08,12,149.1,1,"W"
2022,8,0,11,190.72,7,186.52,1,"W"
2022,8,0,12,149.1,10,164.08,0,"L"
2022,8,0,13,241.64,2,248.22,0,"L"
2022,8,0,14,188.32,3,220.1,0,"L"
2022,9,0,1,120.72,3,145.76,0,"L"
2022,9,0,2,214.9,8,200.54,1,"W"
2022,9,0,3,145.76,1,120.72,1,"W"
2022,9,0,4,212.24,12,172.9,1,"W"
2022,9,0,5,181.06,7,201.16,0,"L"
2022,9,0,6,206.34,11,150.2,1,"W"
2022,9,0,7,201.16,5,181.06,1,"W"
2022,9,0,8,200.54,2,214.9,0,"L"
2022,9,0,9,186.04,10,159.18,1,"W"
2022,9,0,10,159.18,9,186.04,0,"L"
2022,9,0,11,150.2,6,206.34,0,"L"
2022,9,0,12,172.9,4,212.24,0,"L"
2022,9,0,13,181.26,14,142.26,1,"W"
2022,9,0,14,142.26,13,181.26,0,"L"
2022,10,0,1,173.66,13,176.16,0,"L"
2022,10,0,2,214.28,14,204.54,1,"W"
2022,10,0,3,176.26,11,131.7,1,"W"
2022,10,0,4,189.66,8,156.5,1,"W"
2022,10,0,5,215.28,9,162.26,1,"W"
2022,10,0,6,233.42,12,155.84,1,"W"
2022,10,0,7,238.54,10,137.82,1,"W"
2022,10,0,8,156.5,4,189.66,0,"L"
2022,10,0,9,162.26,5,215.28,0,"L"
2022,10,0,10,137.82,7,238.54,0,"L"
2022,10,0,11,131.7,3,176.26,0,"L"
2022,10,0,12,155.84,6,233.42,0,"L"
2022,10,0,13,176.16,1,173.66,1,"W"
2022,10,0,14,204.54,2,214.28,0,"L"
2022,11,0,1,183.66,9,214.78,0,"L"
2022,11,0,2,226.58,5,181.98,1,"W"
2022,11,0,3,268.3,6,226.68,1,"W"
2022,11,0,4,153,7,223.52,0,"L"
2022,11,0,5,181.98,2,226.58,0,"L"
2022,11,0,6,226.68,3,268.3,0,"L"
2022,11,0,7,223.52,4,153,1,"W"
2022,11,0,8,200.36,10,133.7,1,"W"
2022,11,0,9,214.78,1,183.66,1,"W"
2022,11,0,10,133.7,8,200.36,0,"L"
2022,11,0,11,102.28,13,182.28,0,"L"
2022,11,0,12,141.2,14,228.08,0,"L"
2022,11,0,13,182.28,11,102.28,1,"W"
2022,11,0,14,228.08,12,141.2,1,"W"
2022,12,0,1,119.32,5,181.98,0,"L"
2022,12,0,2,229.28,3,243.8,0,"L"
2022,12,0,3,243.8,2,229.28,1,"W"
2022,12,0,4,201.58,13,204.04,0,"L"
2022,12,0,5,181.98,1,119.32,1,"W"
2022,12,0,6,173.14,7,259.66,0,"L"
2022,12,0,7,259.66,6,173.14,1,"W"
2022,12,0,8,122,12,239.86,0,"L"
2022,12,0,9,198.5,11,192.92,1,"W"
2022,12,0,10,197.6,14,222.2,0,"L"
2022,12,0,11,192.92,9,198.5,0,"L"
2022,12,0,12,239.86,8,122,1,"W"
2022,12,0,13,204.04,4,201.58,1,"W"
2022,12,0,14,222.2,10,197.6,1,"W"
2022,13,0,1,195.16,6,256.04,0,"L"
2022,13,0,2,218.66,12,146.34,1,"W"
2022,13,0,3,192.38,8,217.04,0,"L"
2022,13,0,4,244.88,9,206.7,1,"W"
2022,13,0,5,212.76,10,185.34,1,"W"
2022,13,0,6,256.04,1,195.16,1,"W"
2022,13,0,7,165.16,13,185.92,0,"L"
2022,13,0,8,217.04,3,192.38,1,"W"
2022,13,0,9,206.7,4,244.88,0,"L"
2022,13,0,10,185.34,5,212.76,0,"L"
2022,13,0,11,130.98,14,190.68,0,"L"
