"week","franchise_id","franchise_score","opponent_id","opponent_score","result","season"
"11","13","176.72","5","215.68","L","2021"
"11","14","98.36","6","168.36","L","2021"
"12","1","122.94","3","161","L","2021"
"12","2","126.4","10","108.9","W","2021"
"12","3","161","1","122.94","W","2021"
"12","4","132.6","6","119.26","W","2021"
"12","5","122.68","11","191.6","L","2021"
"12","6","119.26","4","132.6","L","2021"
"12","7","137.78","9","143.8","L","2021"
"12","8","129.68","13","164.7","L","2021"
"12","9","143.8","7","137.78","W","2021"
"12","10","108.9","2","126.4","L","2021"
"12","11","191.6","5","122.68","W","2021"
"12","12","140.34","14","94.62","W","2021"
"12","13","164.7","8","129.68","W","2021"
"12","14","94.62","12","140.34","L","2021"
"13","1","113.92","7","176.06","L","2021"
"13","2","210.84","5","173.86","W","2021"
"13","3","85.46","12","105.32","L","2021"
"13","4","216.26","14","102.72","W","2021"
"13","5","173.86","2","210.84","L","2021"
"13","6","138.42","13","155.92","L","2021"
"13","7","176.06","1","113.92","W","2021"
"13","8","104.4","11","108.4","L","2021"
"13","9","140.46","10","79.92","W","2021"
"13","10","79.92","9","140.46","L","2021"
"13","11","108.4","8","104.4","W","2021"
"13","12","105.32","3","85.46","W","2021"
"13","13","155.92","6","138.42","W","2021"
"13","14","102.72","4","216.26","L","2021"
"14","1","117.86","10","145.52","L","2021"
"14","2","173.04","8","100.52","W","2021"
"14","3","150.76","14","131.58","W","2021"
"14","4","159.98","13","157.1","W","2021"
"14","5","146.08","9","150.12","L","2021"
"14","6","198.66","11","167.42","W","2021"
"14","7","128.18","12","99.18","W","2021"
"14","8","100.52","2","173.04","L","2021"
"14","9","150.12","5","146.08","W","2021"
"14","10","145.52","1","117.86","W","2021"
"14","11","167.42","6","198.66","L","2021"
"14","12","99.18","7","128.18","L","2021"
"14","13","157.1","4","159.98","L","2021"
"14","14","131.58","3","150.76","L","2021"
"15","1","100.04","3","111.86","L","2021"
"15","2","132.34","7","94.14","W","2021"
"15","3","111.86","1","100.04","W","2021"
"15","4","154.42","13","204.32","L","2021"
"15","5","110.88","6","137.18","L","2021"
"15","6","137.18","5","110.88","W","2021"
"15","7","94.14","2","132.34","L","2021"
"15","8","65.88","12","145.14","L","2021"
"15","9","151.24","11","103.14","W","2021"
"15","11","103.14","9","151.24","L","2021"
"15","12","145.14","8","65.88","W","2021"
"15","13","204.32","4","154.42","W","2021"
"16","1","115.76","8","126.8","L","2021"
"16","2","137.78","6","146.92","L","2021"
"16","3","92.3","10","118.24","L","2021"
"16","4","109.58","11","112.06","L","2021"
"16","5","116.18","7","195.14","L","2021"
"16","6","146.92","2","137.78","W","2021"
"16","7","195.14","5","116.18","W","2021"
"16","8","126.8","1","115.76","W","2021"
"16","9","129.42","13","180.96","L","2021"
"16","10","118.24","3","92.3","W","2021"
"16","11","112.06","4","109.58","W","2021"
"16","12","104.28","14","211.16","L","2021"
"16","13","180.96","9","129.42","W","2021"
"16","14","211.16","12","104.28","W","2021"
"17","2","139.36","9","138.4","W","2021"
"17","3","116.58","12","114.58","W","2021"
"17","4","155.54","5","148.3","W","2021"
"17","5","148.3","4","155.54","L","2021"
"17","6","171.34","13","162.98","W","2021"
"17","7","156.04","11","90.18","W","2021"
"17","9","138.4","2","139.36","L","2021"
"17","10","118.16","14","165.64","L","2021"
