"franchise_id","franchise_name","h2h_wins","h2h_losses","h2h_ties","h2h_winpct","points_for","points_against","potential_points","allplay_wins","allplay_losses","allplay_winpct","season"
"1","Toronto Hogs","7","7","0","0.5","2748.24","2531.56","3330.26","103","79","0.566","2025"
"2","Bikini Bottom Stars","9","5","0","0.642857142857143","3043.32","2726.56","3789.12","143","50","0.741","2025"
"3","Newfoundland Blowers","7","7","0","0.5","2508.8","2506.66","3187.76","93","100","0.482","2025"
"4","Thunder Bay Mustangs","11","3","0","0.785714285714286","3075.64","2701.94","3596.26","149","33","0.819","2025"
"5","Winnipeg Wranglers","7","7","0","0.5","2801.48","2602.2","3318.34","106","87","0.549","2025"
"6","Choccolocco Railfans","4","10","0","0.285714285714286","2334.24","2702.82","2885","61","132","0.316","2025"
"7","Prince Edward Islanders","9","5","0","0.642857142857143","2615.8","2653.6","3117.86","101","92","0.523","2025"
"8","Iqaluit Trout","6","8","0","0.428571428571429","2495.56","2531.26","2917.98","71","122","0.368","2025"
"9","New New York Benders ","3","11","0","0.214285714285714","2219.9","2699.26","2741.64","47","146","0.244","2025"
"10","Lower City Lasercats","9","5","0","0.642857142857143","2795.22","2505.26","3287.62","127","66","0.658","2025"
"11","Sarnia Seasnakes","11","3","0","0.785714285714286","2892.48","2439.82","3399.99","125","68","0.648","2025"
"12","Mississauga Mastodons","6","8","0","0.428571428571429","2606.54","2814.18","3283.44","88","105","0.456","2025"
"13","Vancouver Mounties","4","10","0","0.285714285714286","2281.22","2801.58","2809.92","55","138","0.285","2025"
"14","Gold Coast Sharks","5","9","0","0.357142857142857","2497.32","2699.6","3052.58","71","122","0.368","2025"
